user_age_group,user_id,attempt_date,gender,smt_rank,smt_avg_spd,smt_finish_seconds,smt_name,user_weight_category,act_title,act_avg_spd,act_max_spd,act_total_km,act_moving_seconds,act_total_seconds,has_hr_data
19 and under,1,2018-12-10,male,1,58.7,240,Starbucks to Majid,54 kg and under,Afternoon Ride,37.0,150.8,52.93,5147,5147,0
19 and under,2,2019-04-27,male,2,39.9,353,Starbucks to Majid,65 to 74 kg,Morning Ride,37.3,53.3,42.06,4057,4057,0
19 and under,3,2019-12-13,male,3,36.4,387,Starbucks to Majid,65 to 74 kg,تمرين صباحي جميل winking face flexed biceps man biking Morning Ride,26.3,46.4,65.43,8962,8962,0
19 and under,4,2017-12-28,male,4,36.2,389,Starbucks to Majid,54 kg and under,Morning Ride,31.4,45.4,44.6,5121,5121,0
19 and under,5,2015-02-09,male,5,35.0,402,Starbucks to Majid,54 kg and under,Evening Speeders Group Ride,20.2,46.8,103.59,18504,18504,0
19 and under,6,2017-12-04,male,6,32.7,430,Starbucks to Majid,54 kg and under,Evening Ride,32.2,46.4,49.92,5581,5581,0
19 and under,7,2019-09-18,male,7,31.9,442,Starbucks to Majid,65 to 74 kg,Morning Ride,32.8,47.9,43.62,4789,4789,1
19 and under,8,2019-12-25,male,8,29.2,482,Starbucks to Majid,54 kg and under,Evening Ride,30.1,53.6,51.16,6123,6123,0
19 and under,9,2019-05-22,male,9,29.0,486,Starbucks to Majid,55 to 64 kg,Night Ride,25.7,41.4,59.63,8347,8347,1
19 and under,10,2016-07-25,male,10,28.9,487,Starbucks to Majid,65 to 74 kg,Night Ride,22.2,36.0,23.12,3751,3751,0
19 and under,11,2017-12-01,male,11,28.7,491,Starbucks to Majid,54 kg and under,Morning Ride,23.0,43.9,53.5,8366,8366,0
19 and under,12,2016-12-23,male,12,28.6,493,Starbucks to Majid,54 kg and under,ذهاب إلى مجدولة جدة و الرجوع,21.4,59.0,156.3,26351,26351,0
19 and under,13,2017-09-12,male,13,28.4,496,Starbucks to Majid,65 to 74 kg,Evening Ride,28.5,46.1,39.08,4932,4932,0
19 and under,14,2019-04-06,male,14,28.2,500,Starbucks to Majid,54 kg and under,Morning Ride,26.8,44.6,56.5,7595,7595,0
19 and under,15,2019-11-24,male,15,27.9,504,Starbucks to Majid,85 to 95 kg,Night Ride,22.5,50.4,43.45,6957,6957,0
19 and under,16,2015-03-11,male,16,27.8,506,Starbucks to Majid,95 kg to 104 kg,Evening Ride,20.1,49.7,20.04,3590,3590,0
19 and under,17,2018-07-07,male,17,27.7,509,Starbucks to Majid,54 kg and under,Evening Ride,31.2,52.2,38.4,4436,4436,0
19 and under,18,2019-10-23,male,18,27.2,517,Starbucks to Majid,65 to 74 kg,Evening Ride,25.5,43.9,51.64,7291,7291,0
19 and under,19,2019-11-06,male,19,26.8,525,Starbucks to Majid,,Evening Ride,27.3,47.5,52.71,6946,6946,0
19 and under,20,2019-03-20,male,20,26.6,529,Starbucks to Majid,54 kg and under,Evening Ride,22.4,49.0,59.02,9475,9475,0
19 and under,21,2018-08-29,male,21,26.2,538,Starbucks to Majid,55 to 64 kg,Evening ride,28.8,48.6,39.97,4995,4995,0
19 and under,22,2014-12-24,male,22,25.9,543,Starbucks to Majid,105 kg to 114 kg,Evening Ride,24.1,50.0,25.17,3753,3753,0
19 and under,23,2019-05-15,male,23,25.7,547,Starbucks to Majid,55 to 64 kg,اول طيحة رايد winking face with tongue ,27.1,42.8,47.22,6283,6283,0
19 and under,24,2019-07-31,male,24,25.4,555,Starbucks to Majid,,Evening Ride,25.7,41.8,52.71,7391,7391,0
19 and under,25,2018-10-19,male,25,25.2,559,Starbucks to Majid,85 to 95 kg,Morning Ride,24.6,42.1,46.88,6849,6849,0
19 and under,26,2018-10-19,male,26,25.1,560,Starbucks to Majid,85 to 95 kg,19/10/2018,22.2,38.2,48.0,7788,7788,0
19 and under,27,2018-11-17,male,27,25.0,563,Starbucks to Majid,,Morning Ride,26.5,38.2,56.66,7699,7699,0
19 and under,28,2018-11-21,male,28,24.0,586,Starbucks to Majid,54 kg and under,Evening Ride,20.5,48.6,57.64,10106,10106,0
19 and under,29,2020-01-31,male,29,23.9,589,Starbucks to Majid,54 kg and under,Relaxed ride sun ,17.1,34.2,45.46,9563,9563,0
19 and under,30,2017-12-11,male,30,23.0,611,Starbucks to Majid,54 kg and under,Evening Ride,22.4,42.8,68.32,10980,10980,0
19 and under,31,2016-03-25,male,31,22.2,635,Starbucks to Majid,75 to 84 kg,Morning Ride,22.6,103.0,79.49,12656,12656,0
19 and under,32,2019-10-18,male,32,22.1,636,Starbucks to Majid,54 kg and under,Afternoon Ride,19.8,36.4,18.09,3282,3282,0
19 and under,33,2017-02-27,male,33,21.6,653,Starbucks to Majid,75 to 84 kg,Evening Ride,20.3,33.1,21.2,3754,3754,0
19 and under,34,2018-03-31,male,34,20.5,686,Starbucks to Majid,54 kg and under,Morning Ride,24.8,45.0,62.32,9043,9043,0
19 and under,35,2016-04-05,male,35,20.1,701,Starbucks to Majid,54 kg and under,Afternoon Ride,19.3,45.7,78.76,14690,14690,0
19 and under,36,2018-02-16,male,36,19.4,726,Starbucks to Majid,54 kg and under,Morning Ride,17.7,41.8,28.33,5769,5769,0
19 and under,37,2018-09-23,male,37,19.0,742,Starbucks to Majid,54 kg and under,National day ride victory hand: light skin tone ,10.0,38.9,14.75,5330,5330,0
19 and under,38,2019-07-10,male,38,17.9,787,Starbucks to Majid,55 to 64 kg,Jeddah Cycling 1,17.8,39.6,23.16,4679,4679,0
19 and under,39,2018-11-13,male,39,17.9,788,Starbucks to Majid,115 kg and over,Evening Ride,20.1,43.9,31.04,5571,5571,0
19 and under,40,2014-11-10,male,40,16.5,853,Starbucks to Majid,65 to 74 kg,Evening Ride,12.3,32.4,43.29,12641,12641,0
19 and under,41,2018-06-17,male,41,15.0,941,Starbucks to Majid,75 to 84 kg,تمشية بعد انقطاع,23.1,48.6,56.16,8762,8762,0
19 and under,42,2019-01-28,male,42,12.2,1157,Starbucks to Majid,54 kg and under,Resume morning ride flexed biceps: medium skin tone ,13.8,99.4,74.31,19414,19414,0
19 and under,43,2018-04-21,male,43,11.2,1256,Starbucks to Majid,54 kg and under,Evening Ride,13.3,37.8,42.07,11416,11416,0
19 and under,44,2018-04-28,male,44,9.4,1492,Starbucks to Majid,75 to 84 kg,Evening Ride,17.3,39.6,10.99,2292,2292,0
19 and under,45,2015-01-16,male,45,4.9,2862,Starbucks to Majid,75 to 84 kg,Afternoon Ride,15.2,34.6,58.24,13814,13814,0
19 and under,46,2018-04-27,male,46,2.9,4923,Starbucks to Majid,75 to 84 kg,Night Ride,16.4,48.6,29.11,6407,6407,1
19 and under,47,2018-09-15,female,1,25.3,556,Starbucks to Majid,54 kg and under,من أرهب التمارين,17.7,31.3,54.53,11094,11094,0
19 and under,48,2020-02-03,female,2,18.2,772,Starbucks to Majid,54 kg and under,35 k ride,14.6,40.0,16.62,4099,4099,0
19 and under,49,2019-12-02,female,3,16.4,858,Starbucks to Majid,54 kg and under,Evening Ride,17.5,31.0,31.01,6381,6381,0
19 and under,50,2019-09-29,female,4,15.1,933,Starbucks to Majid,54 kg and under,Evening Ride,14.7,32.8,20.57,5054,5054,0
20 to 24,51,2015-11-17,male,1,47.1,299,Starbucks to Majid,65 to 74 kg,Morning Ride (Rainy day) ,28.3,56.9,71.25,9055,9055,0
20 to 24,52,2019-04-27,male,2,45.4,310,Starbucks to Majid,75 to 84 kg,Morning Ride,41.8,60.1,41.65,3583,3583,1
20 to 24,53,2019-03-24,male,3,43.1,327,Starbucks to Majid,75 to 84 kg,Night Ride,30.2,52.2,16.64,1984,1984,0
20 to 24,4,2018-01-22,male,4,39.3,358,Starbucks to Majid,54 kg and under,Afternoon Ride,31.4,52.6,56.53,6486,6486,1
20 to 24,54,2018-12-27,male,5,37.1,380,Starbucks to Majid,65 to 74 kg,Crazy wind dashing away man biking: light skin tone fire ,30.0,58.0,112.1,13463,13463,0
20 to 24,55,2015-08-10,male,6,35.5,397,Starbucks to Majid,54 kg and under,Night Ride,27.1,51.1,43.09,5715,5715,0
20 to 24,56,2016-11-28,male,6,35.5,397,Starbucks to Majid,65 to 74 kg,Evening Ride,32.4,43.9,20.12,2236,2236,0
20 to 24,8,2020-02-15,male,8,33.1,425,Starbucks to Majid,54 kg and under,Cross wind,27.7,58.7,51.56,6691,6691,0
20 to 24,57,2016-10-26,male,9,33.0,427,Starbucks to Majid,65 to 74 kg,Evening Ride,25.9,43.6,35.41,4925,4925,0
20 to 24,58,2018-10-01,male,10,32.8,429,Starbucks to Majid,,Evening Ride,32.9,47.5,47.63,5216,5216,1
20 to 24,59,2019-05-20,male,11,31.5,447,Starbucks to Majid,85 to 95 kg,Night Ride,27.5,47.5,35.07,4589,4589,1
20 to 24,60,2015-05-06,male,12,31.2,451,Starbucks to Majid,85 to 95 kg,Evening Ride,24.1,42.5,91.59,13707,13707,0
20 to 24,61,2017-04-06,male,13,30.8,457,Starbucks to Majid,85 to 95 kg,MidNight Ride,27.9,40.7,17.51,2258,2258,0
20 to 24,62,2013-12-25,male,14,30.4,463,Starbucks to Majid,75 to 84 kg,Evening Ride,25.1,40.7,29.2,4181,4181,0
20 to 24,63,2013-12-25,male,14,30.4,463,Starbucks to Majid,115 kg and over,Evening Ride,25.2,41.8,29.3,4188,4188,0
20 to 24,64,2016-02-29,male,16,30.2,466,Starbucks to Majid,55 to 64 kg,Evening Ride,26.8,41.4,44.49,5970,5970,0
20 to 24,2,2019-08-14,male,17,29.6,475,Starbucks to Majid,65 to 74 kg,Evening Ride,29.2,55.1,39.31,4853,4853,1
20 to 24,65,2014-12-10,male,18,29.5,477,Starbucks to Majid,95 kg to 104 kg,Evening Ride,25.6,36.4,34.65,4881,4881,0
20 to 24,66,2018-01-11,male,19,29.3,481,Starbucks to Majid,75 to 84 kg, person running person biking person swimming ,28.1,40.3,48.94,6279,6279,1
20 to 24,67,2019-02-08,male,20,29.0,485,Starbucks to Majid,54 kg and under,Morning Ride,27.5,35.3,49.99,6551,6551,0
20 to 24,68,2019-03-14,male,21,28.9,487,Starbucks to Majid,54 kg and under,Lunch Ride,29.1,52.9,50.11,6190,6190,0
20 to 24,69,2018-06-27,male,22,28.7,490,Starbucks to Majid,65 to 74 kg,تمرين جميل مع جده سايكلس red heart ,30.1,50.0,77.18,9222,9222,0
20 to 24,70,2019-11-13,male,23,28.6,493,Starbucks to Majid,54 kg and under,Evening Ride,26.2,36.4,28.11,3867,3867,0
20 to 24,3,2020-02-22,male,24,28.0,502,Starbucks to Majid,65 to 74 kg,Morning Ride تمرين رائع winking face flexed biceps person biking ,28.2,46.4,61.45,7858,7858,1
20 to 24,71,2017-08-21,male,25,27.8,507,Starbucks to Majid,75 to 84 kg,تمرين خفيف جداً recycling symbol check mark button ,21.7,46.8,18.06,2999,2999,0
20 to 24,72,2017-12-22,male,26,27.7,509,Starbucks to Majid,54 kg and under,Night Ride,25.3,38.5,65.96,9388,9388,0
20 to 24,73,2014-11-03,male,27,27.5,512,Starbucks to Majid,75 to 84 kg,Evening Ride With Jeddah Cyclists,21.9,36.0,31.74,5214,5214,0
20 to 24,74,2019-01-02,male,28,27.4,513,Starbucks to Majid,,Morning Ride,21.4,34.2,50.47,8497,8497,0
20 to 24,75,2015-01-26,male,29,27.4,514,Starbucks to Majid,,طلعة مع قروب جدة انا والكابتن عبدالرحمن العامودي,18.2,55.1,37.62,7446,7446,0
20 to 24,76,2018-09-17,male,30,27.3,515,Starbucks to Majid,75 to 84 kg,تمرين مع دراج جده سبيدر,27.8,38.5,31.23,4039,4039,0
20 to 24,77,2018-03-26,male,31,27.2,518,Starbucks to Majid,75 to 84 kg,Night Ride,25.1,65.2,65.8,9444,9444,1
20 to 24,78,2016-04-27,male,32,26.8,525,Starbucks to Majid,75 to 84 kg,Evening Ride,21.1,50.4,22.57,3855,3855,0
